application_id,annual_income,credit_score,loan_amount,years_in_business,num_employees,previous_loans,debt_to_income_ratio,monthly_revenue,loan_purpose,industry,has_collateral,education_level,geographic_region,default,loan_to_income,rev_to_loan_ratio,rev_per_employee,credit_tier,default_probability,decision_tier
28,39221.44304950423,772.5554681227692,18723.08265814957,0.0688859576617979,10,2,0.0575475374709563,2338.082603648845,business_expansion,services,no,bachelors,west,0,0.47736853115062106,1.498524134943869,2805.699124378614,Elite,0.16,🟢 Low Risk (Auto-Approve)
29,34197.29492059951,750.910082179451,9760.504808175448,0.0866087849465492,12,0,0.2862017846972092,1352.5266404374097,real_estate,services,no,bachelors,southeast,0,0.2854174527791667,1.6628565841855145,1352.5266404374097,Elite,0.15,🟢 Low Risk (Auto-Approve)
30,103133.97901558348,648.2504957485891,8811.036860280215,3.7776204033453102,7,2,0.4532867232217897,3961.610078854404,equipment,services,no,masters,midwest,0,0.085432918853532,5.395428676567921,6791.3315637504065,Subprime,0.05,🟢 Low Risk (Auto-Approve)
31,63631.31818169767,635.9342900455014,15198.1215453703,8.007186757256036,7,3,0.2028991016285757,4573.447653202775,real_estate,retail,no,high_school,midwest,0,0.23884656140506844,3.6110628326400924,7840.195976919043,Subprime,0.03,🟢 Low Risk (Auto-Approve)
32,36519.56440975962,748.3700100157846,51888.739796684895,3.001047065949684,15,3,0.1411677070037567,16735.551475227505,business_expansion,services,yes,bachelors,midwest,0,1.4208477191698912,3.870331376125666,13388.441180182004,Average,0.22,🟡 Medium Risk (Manual Review)
33,28098.19587934672,712.8241876348688,10989.88878634244,3.889671396967375,11,2,0.1652093438970342,5743.173627493888,equipment,food,yes,masters,southeast,0,0.39112435665025885,6.271044672951906,6265.280320902422,Average,0.07,🟢 Low Risk (Auto-Approve)
34,77628.56870123622,807.0015895293509,68672.38561296392,5.210694024806097,8,2,0.2060528197285085,3370.9475062913343,equipment,services,no,high_school,midwest,1,0.884627744165407,0.5890485631805347,5056.421259437002,Elite,0.58,🔴 High Risk (Auto-Reject)
35,101503.25020206653,819.3966793574773,6299.017009725785,1.34671970598074,15,2,0.1777308375316294,14942.752446416736,real_estate,food,no,high_school,midwest,0,0.06205729370425167,28.46682729704311,11954.20195713339,Elite,0.05,🟢 Low Risk (Auto-Approve)
36,95436.29345408666,838.220021088103,100293.30196230851,0.3432497199274967,11,1,0.251506052298815,6335.93079570882,business_expansion,retail,no,bachelors,southwest,0,1.0508926775384304,0.7580882078952722,6911.924504409622,Elite,0.13,🟢 Low Risk (Auto-Approve)
37,24031.411446340408,824.4728768692901,15487.625619052413,8.113323092254845,9,1,0.2238232892220988,5247.482918107965,working_capital,technology,no,masters,northeast,0,0.6444742396273576,4.065813351004044,6996.643890810619,Elite,0.13,🟢 Low Risk (Auto-Approve)
38,38954.93403862873,623.2635019256836,69807.2171655706,8.369598484046536,10,2,0.1870551144823534,11053.250886581214,working_capital,services,no,high_school,southeast,1,1.7919993676885178,1.9000758950808463,13263.901063897458,Subprime,0.63,🔴 High Risk (Auto-Reject)
39,33643.04902560296,690.9112490913628,62913.59414032706,1.749331844145389,10,1,0.3635919973442718,3761.976445818262,equipment,services,yes,bachelors,west,1,1.8700324721593664,0.7175510788515327,4514.371734981914,Average,0.93,🔴 High Risk (Auto-Reject)
40,43148.64347357966,804.8895338436165,62731.78923248262,0.7345178462059359,5,2,0.280121938899042,2026.6690351814696,business_expansion,manufacturing,no,high_school,midwest,0,1.453853103653048,0.38768268400647954,4864.005684435527,Elite,0.25,🟡 Medium Risk (Manual Review)
41,88532.65570089768,670.1355744620176,23460.08264998214,6.686732307434745,5,0,0.3552845251641427,21262.82856650709,business_expansion,retail,no,bachelors,southwest,0,0.2649879015178381,10.876088827346026,51030.78855961702,Average,0.01,🟢 Low Risk (Auto-Approve)
42,123067.87371621632,734.288123343785,7326.071569940332,3.697391510487732,9,3,0.5227974415040411,24718.79349064305,equipment,technology,yes,bachelors,west,0,0.05952870841689853,40.48902867736146,32958.3913208574,Average,0.0,🟢 Low Risk (Auto-Approve)
43,65354.61420925496,735.1200281286633,29925.46191923468,0.0247871708374779,11,4,0.6233421893641404,14259.596172310245,equipment,healthcare,no,masters,midwest,0,0.4578936358405875,5.718045540267439,15555.92309706572,Average,0.11,🟢 Low Risk (Auto-Approve)
44,28945.33869276652,697.4042491381747,12235.913670644351,0.3419248791945313,12,2,0.2854736412805105,2553.287938156352,working_capital,retail,yes,high_school,west,0,0.42272484010360273,2.50405945012382,2553.287938156352,Average,0.17,🟢 Low Risk (Auto-Approve)
45,48625.25894666712,768.0131019270498,63124.55484321326,12.259065387637069,11,0,0.3286652101818945,,business_expansion,retail,no,bachelors,southeast,1,1.2981844459162504,,,Elite,0.46,🔴 High Risk (Auto-Reject)
46,138376.18605220754,708.8062629976666,28721.67846210024,0.1166222375947301,11,3,0.5657470316172335,5526.599494321384,business_expansion,retail,no,bachelors,southeast,0,0.20756229291696132,2.309029189201747,6029.017630168782,Average,0.16,🟢 Low Risk (Auto-Approve)
47,53447.65804661559,681.1136032914912,25568.44957864245,0.9961770113518628,8,0,0.4054506574385405,18803.239409463386,real_estate,food,yes,bachelors,midwest,0,0.47838297341938435,8.824894611601275,28204.85911419508,Average,0.14,🟢 Low Risk (Auto-Approve)
48,39290.54107726731,610.4679502887093,12958.582957211844,2.3855154308067377,7,1,0.441257930611252,4585.02058022965,working_capital,technology,no,bachelors,midwest,0,0.32981431667555755,4.245853666595186,7860.035280393685,Subprime,0.12,🟢 Low Risk (Auto-Approve)
49,41965.57835403836,753.7568367638005,17262.377227609035,0.6113304695451918,6,2,0.4820451679250839,9622.942872570711,equipment,services,yes,bachelors,northeast,0,0.41134610565775437,6.689421332199836,19245.885745141422,Elite,0.15,🟢 Low Risk (Auto-Approve)
50,65145.40092144036,779.2289667129696,37961.59593676354,0.7921079197985633,9,1,0.2677987082931982,4594.64849944971,working_capital,retail,no,masters,southeast,0,0.5827210424653291,1.452409484712965,6126.197999266279,Elite,0.09,🟢 Low Risk (Auto-Approve)
51,24768.952035157883,538.2855659310308,33389.61732403502,1.3060761994046863,7,2,0.3896233157949292,1447.9698746443328,business_expansion,technology,no,masters,southwest,0,1.3480431984623602,0.5203904653086395,2482.2340708188563,Subprime,0.37,🔴 High Risk (Auto-Reject)
52,32975.91354370088,701.4644743733159,43196.60156531195,0.9423010195089776,5,2,0.0329797897429239,5108.431942107825,equipment,retail,yes,bachelors,west,0,1.3099440447060318,1.4191205114274645,12260.236661058781,Average,0.23,🟡 Medium Risk (Manual Review)
53,94493.17180722753,787.9686249396387,45725.6635978195,4.879084352038792,12,1,0.2343190125495455,26651.477645589333,business_expansion,food,no,bachelors,southwest,0,0.48390442106338594,6.994272069182678,26651.477645589333,Elite,0.04,🟢 Low Risk (Auto-Approve)
54,63843.828459691926,657.8220149254294,48717.18334792624,2.081088834214813,9,3,0.2190989385373121,6184.241524017219,business_expansion,services,no,bachelors,midwest,0,0.7630680133583161,1.523300264676849,8245.655365356291,Average,0.18,🟢 Low Risk (Auto-Approve)
55,53854.8252143664,798.1314384042344,8515.229611416873,0.9797683180322494,8,1,0.185831310960545,14625.667426843484,equipment,services,yes,phd,northeast,0,0.1581145157842855,20.611071824394237,21938.501140265224,Elite,0.01,🟢 Low Risk (Auto-Approve)
56,97680.40694037102,796.4135252658286,34593.792301834044,1.1266823498314542,11,4,0.1056186940358741,6665.979819697129,working_capital,manufacturing,yes,bachelors,northeast,0,0.3541528274237414,2.312315375499455,7271.977985124141,Elite,0.02,🟢 Low Risk (Auto-Approve)
57,27440.57351344576,787.1630780105652,32843.34891299018,0.1220440119514281,13,1,0.178549582670539,6776.198930083268,real_estate,food,yes,bachelors,northeast,0,1.1968900320868687,2.4758250864252704,6254.952858538401,Elite,0.25,🟡 Medium Risk (Manual Review)
58,38353.04751692941,792.6055577342827,6023.98742172405,0.151960737717962,13,3,0.457840628737585,4346.578053485458,working_capital,services,no,masters,midwest,0,0.15706672120553142,8.658540098162712,4012.2258955250386,Elite,0.05,🟢 Low Risk (Auto-Approve)
59,62367.90914344182,745.9007586718824,36158.23900219478,3.796561448647727,10,3,0.1676656829329253,11790.822097896396,business_expansion,services,no,phd,midwest,0,0.5797571138553541,3.9130740068997394,14148.986517475676,Average,0.1,🟢 Low Risk (Auto-Approve)
60,60807.4377179209,796.9091205303024,62367.09498096147,0.3594293394615084,7,1,0.7225565682623764,4627.677623208204,working_capital,manufacturing,no,masters,west,0,1.0256491199362099,0.8904075377480785,7933.161639785491,Elite,0.32,🔴 High Risk (Auto-Reject)
61,12775.367228952393,631.9486710655149,36828.10431837354,1.9376275058181969,7,2,0.1125326277347328,17804.671543792494,equipment,food,yes,high_school,northeast,1,2.8827433026669653,5.801440570453607,30522.29407507285,Subprime,0.97,🔴 High Risk (Auto-Reject)
62,35413.84240815345,771.880874447972,6664.678431994169,5.542431369400052,4,2,0.450991556655313,8100.364125858467,business_expansion,services,no,high_school,southeast,0,0.18819416303890643,14.585005188497389,24301.092377575398,Elite,0.09,🟢 Low Risk (Auto-Approve)
63,44009.95111084819,718.6289375814249,12278.917178517944,1.3787511443001452,5,1,0.2549327976232208,5316.745796211421,working_capital,healthcare,no,bachelors,southeast,0,0.2790031996988805,5.195975233561905,12760.189910907411,Average,0.08,🟢 Low Risk (Auto-Approve)
64,67338.16626095303,670.8427367712579,31115.114587275904,1.2728074244748946,11,1,0.3404250115999226,8313.377756067306,equipment,manufacturing,yes,high_school,northeast,0,0.4620724964011744,3.206175982189806,9069.139370255243,Average,0.07,🟢 Low Risk (Auto-Approve)
65,60652.90924552798,605.8439306824846,10458.825340552228,6.191845167287907,17,3,0.5184277674699345,12422.901818409886,business_expansion,healthcare,no,bachelors,west,0,0.1724373236280232,14.253495681097919,8769.107165936392,Subprime,0.04,🟢 Low Risk (Auto-Approve)
66,47171.78892003926,635.6018494202352,39013.01940414957,6.004118823446181,6,3,0.1220986316419647,3897.404105058663,business_expansion,services,no,masters,midwest,0,0.8270413375731925,1.1988010662853088,7794.808210117325,Subprime,0.05,🟢 Low Risk (Auto-Approve)
67,6423.152457180019,632.402613906856,25866.562234953795,6.3642125960318445,7,3,0.2416831730847342,15487.524379427698,business_expansion,manufacturing,yes,masters,southeast,1,4.027082092071358,7.184962998368243,26550.041793304623,Subprime,0.95,🔴 High Risk (Auto-Reject)
68,48980.13583354381,766.7456401533761,47902.15495519383,2.5452932276225138,10,2,0.1273733801689216,3397.6707032683385,equipment,services,no,bachelors,west,0,0.9779914681736809,0.8511526981898195,4077.204843922006,Elite,0.13,🟢 Low Risk (Auto-Approve)
69,52369.1708335567,750.642061905245,20027.98865752873,9.128740433497002,7,2,0.3449236562370418,17862.650737274897,real_estate,manufacturing,yes,high_school,southwest,0,0.3824385289807826,10.702612854073175,30621.68697818554,Elite,0.02,🟢 Low Risk (Auto-Approve)
70,218939.93366348607,817.7875611971835,31667.13480877244,5.127177252663808,5,2,0.2603730836837843,,working_capital,retail,yes,bachelors,northeast,0,0.14463845986838242,,,Elite,0.08,🟢 Low Risk (Auto-Approve)
71,42913.793178919,748.3791065123346,13955.208325556196,1.6116855322575012,8,1,0.1694885291437584,8273.65220266365,business_expansion,healthcare,no,high_school,southeast,0,0.3251916759577329,7.114463941763246,12410.478303995475,Average,0.06,🟢 Low Risk (Auto-Approve)
72,62611.78567391992,,88163.64021624545,2.9791520294089557,9,0,0.3229067705129729,7959.432932952378,real_estate,services,yes,masters,west,0,1.4080997573747334,1.0833626533699867,10612.577243936503,Subprime,0.13,🟢 Low Risk (Auto-Approve)
73,108606.38276642896,691.5395413793274,25079.44991552943,0.3896054686424737,14,3,0.3711317712459669,6281.9966496326815,equipment,services,yes,masters,southeast,0,0.23092058934939202,3.0058059506685484,5384.568556828012,Average,0.02,🟢 Low Risk (Auto-Approve)
74,85142.18089417082,798.8200143205236,8077.610895998629,2.404417500398286,8,1,0.2307993917331175,3261.6397103532545,working_capital,healthcare,no,masters,southeast,0,0.0948720224354936,4.845452080840822,4892.459565529882,Elite,0.03,🟢 Low Risk (Auto-Approve)
75,126384.13741834435,752.1019565772039,52814.02062811614,0.9161090747675582,9,2,0.2916201601229634,19338.181466144146,real_estate,services,yes,bachelors,northeast,0,0.4178848841868213,4.3938744832123415,25784.241954858862,Elite,0.06,🟢 Low Risk (Auto-Approve)
76,12987.366582230592,705.1730751580058,19421.01443881497,1.0003288400175978,8,3,0.2524889504209832,16191.22029335874,working_capital,technology,no,bachelors,midwest,0,1.4953773973999427,10.00435091238006,24286.83044003811,Average,0.26,🟡 Medium Risk (Manual Review)
77,20611.85682480977,800.213253099867,50958.07300841834,0.4030577019843372,6,1,0.1702176766178902,837.8345658226248,working_capital,services,no,masters,midwest,1,2.4722698901673863,0.1972997446000472,1675.6691316452495,Elite,0.94,🔴 High Risk (Auto-Reject)
78,31118.011333266808,714.0719802270821,19734.45574857257,1.330432021631495,7,2,0.028319359018461,8312.057205404151,real_estate,manufacturing,no,bachelors,west,0,0.634181135073866,5.05434189499067,14249.240923549974,Average,0.23,🟡 Medium Risk (Manual Review)
79,10779.51584556764,790.3875020806076,10302.803912616992,1.9698112808180608,9,1,0.1642753291318945,1746.770490688687,business_expansion,manufacturing,no,masters,northeast,1,0.9557761276313107,2.0345185704830064,2329.0273209182496,Elite,0.75,🔴 High Risk (Auto-Reject)
80,52702.718808244426,667.7601442851442,24692.23410186783,2.751531682987853,7,2,0.3071329133576793,10345.134006084949,working_capital,manufacturing,no,bachelors,midwest,1,0.4685191705518835,5.027556743584769,17734.51543900277,Average,0.17,🟢 Low Risk (Auto-Approve)
81,22175.33131711551,831.7721102420757,7559.09395763189,1.0909663371607183,10,1,0.1902630481469226,14388.430471016416,business_expansion,manufacturing,no,masters,west,0,0.3408785126830362,22.841516009716095,17266.1165652197,Elite,0.08,🟢 Low Risk (Auto-Approve)
82,137256.2624004627,644.7015193630482,19056.272559575424,4.714234038520891,8,0,0.210095215336606,2489.719619599498,equipment,technology,no,masters,west,0,0.13883718109689094,1.567811089067443,3734.5794293992467,Subprime,0.02,🟢 Low Risk (Auto-Approve)
83,25386.026413358675,698.2587442501886,46477.99532268349,2.2079132927949527,10,5,0.3416655506614005,7027.12631741007,business_expansion,manufacturing,no,high_school,west,1,1.8308495613250353,1.814310518848173,8432.551580892085,Average,0.91,🔴 High Risk (Auto-Reject)
84,38535.09653608919,708.3757558353217,35426.575428106684,3.048765074727922,17,1,0.0801842281388487,8238.417884465824,business_expansion,manufacturing,no,bachelors,southeast,0,0.919332728151562,2.790589082318007,5815.353800799405,Average,0.12,🟢 Low Risk (Auto-Approve)
85,88588.86479112759,553.8809056416125,27910.67877743835,0.9777871928274452,11,3,0.3271406500280968,5077.986087046147,business_expansion,healthcare,yes,bachelors,west,0,0.3150585442453223,2.183244396542995,5539.621185868524,Subprime,0.05,🟢 Low Risk (Auto-Approve)
86,15874.141709024803,807.9888723942139,19511.42473933417,5.048218213685116,12,5,0.3321260981928057,6140.492524471613,working_capital,services,no,bachelors,southwest,0,1.2291325790698648,3.776552008788565,6140.492524471613,Elite,0.16,🟢 Low Risk (Auto-Approve)
87,10007.494947299734,700.0709044118448,65346.13095149266,2.936688971498158,3,5,0.2552818424958759,10361.525127169056,working_capital,healthcare,no,high_school,southwest,1,6.529719105091793,1.9027645510998457,41446.10050867622,Average,0.77,🔴 High Risk (Auto-Reject)
88,57497.15231332837,589.7431807326323,28531.508683470616,5.949095887291445,7,0,0.3607505328130567,,business_expansion,retail,yes,high_school,southwest,0,0.4962247265393133,,,Subprime,0.07,🟢 Low Risk (Auto-Approve)
89,60755.714572492594,641.3808798600949,14153.11181259858,0.5228872340551748,9,1,0.2650210600992467,7264.413205940848,real_estate,manufacturing,yes,masters,southwest,0,0.23295112093054798,6.159278583081073,9685.884274587797,Subprime,0.08,🟢 Low Risk (Auto-Approve)
90,86803.63919471491,711.3204197679268,45409.025592447,1.4373184768331388,7,3,0.1872773738221301,19517.32663164667,working_capital,services,no,bachelors,southeast,0,0.5231235235493646,5.157739381633339,33458.274225680005,Average,0.03,🟢 Low Risk (Auto-Approve)
91,73061.31660083243,792.1188166453688,37571.65304942739,0.3597856280275057,11,1,0.1841064625325931,,business_expansion,technology,no,bachelors,southwest,0,0.5142482341879849,,,Elite,0.01,🟢 Low Risk (Auto-Approve)
92,62406.71011710868,789.736653939897,12226.23448367361,0.7282305616500656,9,2,0.5925109892014804,5238.249973246605,business_expansion,manufacturing,no,high_school,northeast,0,0.19591217772464842,5.141321292577733,6984.33329766214,Elite,0.11,🟢 Low Risk (Auto-Approve)
93,28016.44250862679,707.9487121671157,57098.82653609363,1.5053375221128775,8,0,0.1737026308971094,12074.695269919648,business_expansion,healthcare,no,high_school,west,1,2.0380469975269637,2.5376413497297197,18112.042904879472,Average,0.94,🔴 High Risk (Auto-Reject)
94,59545.34734910833,741.9770683805953,29145.91105018133,6.749463010560353,4,4,0.1110161959597663,24264.568171824285,business_expansion,retail,yes,bachelors,west,0,0.48947419651953344,9.990245889399977,72793.70451547285,Average,0.1,🟢 Low Risk (Auto-Approve)
95,62231.22780482107,800.524999205107,32059.98549070789,2.442831950775826,6,2,0.2005826407875207,12207.822798602425,working_capital,services,no,bachelors,west,0,0.5151752041797928,4.569368056192294,24415.645597204846,Elite,0.13,🟢 Low Risk (Auto-Approve)
96,27122.52878425553,787.4033477994337,59686.013566755726,1.2031271963779462,14,1,0.2339152915157064,5777.668080459132,business_expansion,manufacturing,no,masters,northeast,1,2.200606515768659,1.161612458636818,4952.286926107829,Elite,0.93,🔴 High Risk (Auto-Reject)
97,162662.2655933528,774.2149585068977,6802.313735810199,4.12190191190254,5,3,0.4283328769271458,15196.513290084196,business_expansion,services,no,bachelors,southwest,0,0.04181863390994215,26.808254744411656,36471.63189620207,Elite,0.03,🟢 Low Risk (Auto-Approve)
98,70688.20712304329,,12912.347156545684,0.0596369715898941,12,1,0.2923332663311148,16742.244179378653,working_capital,food,no,masters,southwest,0,0.1826662138151252,15.559288153950975,16742.244179378653,Subprime,0.02,🟢 Low Risk (Auto-Approve)
99,20953.85236411189,753.0731307830515,60332.17713465708,1.386545512083344,13,0,0.4716305749181934,919.8255304428016,real_estate,healthcare,no,bachelors,southeast,1,2.8792880701015764,0.18295223029458732,849.0697204087398,Elite,0.94,🔴 High Risk (Auto-Reject)
100,87098.33715606785,762.6217126465629,12030.094624132544,2.755116413943635,15,1,0.1272354049368015,5242.812653595212,business_expansion,healthcare,yes,phd,southeast,0,0.13812083005185646,5.229697172700259,4194.25012287617,Elite,0.02,🟢 Low Risk (Auto-Approve)
101,97361.854212117,810.0223746501645,25602.217264731426,2.625714879532452,14,2,0.2287358403362198,,real_estate,healthcare,no,bachelors,southeast,0,0.26295942565918334,,,Elite,0.1,🟢 Low Risk (Auto-Approve)
102,67751.35046284247,832.3585944655931,66235.39449809019,2.806098671477062,12,2,0.1275523787667572,22406.97512741578,business_expansion,technology,yes,bachelors,midwest,1,0.9776247122102208,4.059516872610192,22406.97512741578,Elite,0.67,🔴 High Risk (Auto-Reject)
103,41085.59514416791,777.9657830680655,9371.96645117398,0.7128715276223707,5,3,0.2564369917253851,,equipment,technology,no,high_school,southeast,0,0.2281083289237524,,,Elite,0.03,🟢 Low Risk (Auto-Approve)
104,26120.56038138629,711.7788280396371,3005.861213753255,1.2332990461116249,7,5,0.4134199589004336,32016.80160380022,working_capital,retail,yes,phd,west,0,0.11507644437426597,127.81748454908569,54885.94560651466,Average,0.06,🟢 Low Risk (Auto-Approve)
105,47072.91589056295,763.8944754289516,8267.17717681861,8.045632487469552,11,4,0.3076242266370896,6266.422968093549,working_capital,manufacturing,yes,high_school,southwest,0,0.1756249218985814,9.095858720432075,6836.09778337478,Elite,0.01,🟢 Low Risk (Auto-Approve)
106,64410.77837166906,686.5012737075836,25335.291297134063,10.946154237491786,12,0,0.6531655976958858,1761.010630842674,real_estate,services,yes,bachelors,midwest,0,0.39333931273027023,0.8340984645596935,1761.010630842674,Average,0.03,🟢 Low Risk (Auto-Approve)
107,50505.25349074947,714.497318576795,21083.33490545369,1.1220665574524022,5,4,0.2989915418434821,9285.518351016348,working_capital,retail,yes,high_school,midwest,0,0.41744835335427644,5.285037718742172,22285.244042439233,Average,0.04,🟢 Low Risk (Auto-Approve)
108,130065.81650962846,768.9520282930189,19224.006973224325,3.1027213417738624,5,2,0.2756447263704843,12857.20380917805,equipment,food,no,bachelors,midwest,0,0.1478021473213234,8.02571731923686,30857.289142027323,Elite,0.03,🟢 Low Risk (Auto-Approve)
109,78357.38507541167,764.4894391250215,17740.28227099933,0.8284337742233094,6,1,0.535032328236872,11859.483452930368,business_expansion,food,no,high_school,southeast,0,0.22640217324666928,8.022070858918058,23718.966905860736,Elite,0.08,🟢 Low Risk (Auto-Approve)
